Absolute path;Relative path;Class
./new_dataset/1_0001.txt;dataset/1_0001.txt;1
./new_dataset/1_0002.txt;dataset/1_0002.txt;1
./new_dataset/1_0003.txt;dataset/1_0003.txt;1
./new_dataset/1_0004.txt;dataset/1_0004.txt;1
./new_dataset/1_0005.txt;dataset/1_0005.txt;1
./new_dataset/1_0006.txt;dataset/1_0006.txt;1
./new_dataset/1_0007.txt;dataset/1_0007.txt;1
./new_dataset/1_0008.txt;dataset/1_0008.txt;1
./new_dataset/1_0009.txt;dataset/1_0009.txt;1
./new_dataset/1_0010.txt;dataset/1_0010.txt;1
./new_dataset/1_0011.txt;dataset/1_0011.txt;1
./new_dataset/1_0012.txt;dataset/1_0012.txt;1
./new_dataset/1_0013.txt;dataset/1_0013.txt;1
./new_dataset/1_0014.txt;dataset/1_0014.txt;1
./new_dataset/1_0015.txt;dataset/1_0015.txt;1
./new_dataset/1_0016.txt;dataset/1_0016.txt;1
./new_dataset/1_0017.txt;dataset/1_0017.txt;1
./new_dataset/1_0018.txt;dataset/1_0018.txt;1
./new_dataset/1_0019.txt;dataset/1_0019.txt;1
./new_dataset/1_0020.txt;dataset/1_0020.txt;1
./new_dataset/1_0021.txt;dataset/1_0021.txt;1
./new_dataset/1_0022.txt;dataset/1_0022.txt;1
./new_dataset/1_0023.txt;dataset/1_0023.txt;1
./new_dataset/1_0024.txt;dataset/1_0024.txt;1
./new_dataset/1_0025.txt;dataset/1_0025.txt;1
./new_dataset/1_0026.txt;dataset/1_0026.txt;1
./new_dataset/1_0027.txt;dataset/1_0027.txt;1
./new_dataset/1_0028.txt;dataset/1_0028.txt;1
./new_dataset/1_0029.txt;dataset/1_0029.txt;1
./new_dataset/1_0030.txt;dataset/1_0030.txt;1
./new_dataset/1_0031.txt;dataset/1_0031.txt;1
./new_dataset/1_0032.txt;dataset/1_0032.txt;1
./new_dataset/1_0033.txt;dataset/1_0033.txt;1
./new_dataset/1_0034.txt;dataset/1_0034.txt;1
./new_dataset/1_0035.txt;dataset/1_0035.txt;1
./new_dataset/1_0036.txt;dataset/1_0036.txt;1
./new_dataset/1_0037.txt;dataset/1_0037.txt;1
./new_dataset/1_0038.txt;dataset/1_0038.txt;1
./new_dataset/1_0039.txt;dataset/1_0039.txt;1
./new_dataset/1_0040.txt;dataset/1_0040.txt;1
./new_dataset/1_0041.txt;dataset/1_0041.txt;1
./new_dataset/1_0042.txt;dataset/1_0042.txt;1
